Algorithm	0%	0,001%	0,01%	0,1%	1%	10%
BBR	80,2	86,7	86,1	77,0	51,9	29,9
Cubic	74,6	84,0	46,8	6,50	1,25	0,202
Reno	17,7	47,5	18,6	3,52	0,808	0,211
Veno	60,6	60,3	25,1	4,00	1,16	0,223
