Algorithm	0%	0,001%	0,01%	0,1%	1%	10%
BBR	91,0	90,9	84,8	87,5	73,8	49,9
Cubic	83,6	89,9	87,9	6,38	1,61	0,338
Reno	55,1	68,7	38,3	7,82	2,28	0,394
Veno	85,3	63,9	31,8	7,95	2,01	0,453
