Algorithm	0%	0,001%	0,01%	0,1%	1%	10%
BBR	93,3	93,4	93,3	93,4	92,9	92,3
Cubic	94,1	94,1	93,6	94,1	93,9	2,75
Reno	94,1	94,1	94,1	94,1	94,0	6,90
Veno	94,0	94,0	94,0	94,1	93,0	7,98
